YEAR,SEASON,NAME,NUMBER_OF_COURSES
2021,Spring,Adam Tashman,1
2021,Spring,Bill Basener,1
2021,Spring,Eric Field,1
2021,Spring,Jason Williamson,1
2021,Spring,Jeffrey Woo,1
2021,Spring,Jon Kropko,2
2021,Spring,Judy Fox,1
2021,Spring,Luis Felipe Rosado Murillo,2
2021,Spring,Michael Porter,1
2021,Spring,N. Rich Nguyen,1
2021,Spring,Panagiotis Apostolellis,1
2021,Spring,Peter Alonzi,1
2021,Spring,Rafael Alvarado,1
2021,Spring,Sree Mallikarjun,1
2021,Summer,Adam Tashman,1
2021,Summer,Jason Williamson,1
2021,Summer,Jeffrey Woo,1
2021,Summer,Jeremy Bolton,1
2021,Summer,Jon Kropko,1
2021,Summer,N. Rich Nguyen,1
2021,Summer,Nada Basit,1
2021,Summer,Peter Alonzi,1
2021,Summer,Peter Gedeck,1
2021,Summer,Rafael Alvarado,2
2021,Summer,Renee Cummings,2
2021,Summer,Sree Mallikarjun,1
2021,Summer,Teague Henry,2
2021,Fall,Abbas Kaziempour,1
2021,Fall,Adam Tashman,1
2021,Fall,Bill Basener,2
2021,Fall,Caitlin Dreisbach,1
2021,Fall,Eric Tassone,2
2021,Fall,Jeffrey Woo,1
2021,Fall,Jeremy Bolton,2
2021,Fall,Judy Fox,1
2021,Fall,Lei Xie,1
2021,Fall,Marc Ruggiano,1
2021,Fall,Peter Alonzi,1
2021,Fall,Peter Gedeck,1
2021,Fall,Rafael Alvarado,1
2021,Fall,Renee Cummings,1
2021,Fall,Sree Mallikarjun,1
2021,Fall,Stephen Baek,1
2021,Fall,Teague Henry,1